date,country,confirmed,deaths,recovered,active
2007-10-11,Canada,951086,4145,646559,300382
2001-03-24,Egypt,1502451,34460,1080220,387771
2002-04-22,Russia,729645,4684,670606,54355
2022-12-07,China,24322,416,16639,7267
2010-08-03,Indonesia,1068068,13107,880525,174436
2013-08-06,Thailand,343849,4706,195406,143737
2022-03-06,Philippines,1193809,2086,922752,268971
2011-12-05,Brazil,1419901,21810,750541,647550
2022-07-31,Pakistan,923103,25018,567611,330474
2008-12-14,Bangladesh,400226,2491,287301,110434
2006-11-27,Russia,109914,854,82215,26845
2011-12-10,Egypt,992082,6439,862398,123245
2019-09-02,India,1714776,31803,1006450,676523
2011-09-12,Italy,1021020,20141,589037,411842
2019-06-09,Germany,39675,1118,34126,4431
2019-06-14,Spain,1892218,14362,1684020,193836
2010-09-15,Germany,330784,4055,200682,126047
2016-12-13,Saudi Arabia,1563546,13353,1457492,92701
2009-04-16,USA,383815,496,224728,158591
2004-11-04,UK,1466699,394,952003,514302
2000-07-24,Turkey,1096992,16592,626322,454078
2022-11-14,Cambodia,1311762,17098,747642,547022
2005-11-21,France,800169,11400,490230,298539
2020-09-26,South Africa,667255,16642,495261,155352
2008-04-19,USA,83584,1293,46363,35928
2017-01-23,Thailand,1054647,31403,970185,53059
2016-03-27,Bangladesh,309257,582,181671,127004
2002-04-30,Japan,615177,13723,561025,40429
2024-06-18,Germany,742401,7248,654565,80588
2007-09-02,Italy,1910860,48404,1554791,307665
2015-11-28,India,1546685,34919,777349,734417
2011-01-13,France,62863,1536,56755,4572
2017-11-04,USA,114375,1889,91745,20741
2012-09-12,Spain,934347,9565,508858,415924
2008-01-01,Argentina,1796096,13909,1057728,724459
2005-06-23,Kenya,1729236,40900,1120921,567415
2016-04-17,Egypt,1246348,5642,841987,398719
2010-09-29,India,1155567,14972,740596,399999
2015-12-30,Italy,134348,502,102918,30928
2000-06-13,China,453878,3730,417256,32892
2002-10-02,Philippines,1127936,29621,931086,167229
2003-11-08,Pakistan,784755,8244,589971,186540
2006-07-20,Saudi Arabia,81068,1956,41209,37903
2003-04-08,Canada,381938,8616,256657,116665
2017-06-29,Argentina,748000,18143,444160,285697
2000-12-19,Kenya,605805,8449,312642,284714
2011-07-09,Brazil,857727,1693,496957,359077
2012-07-17,Russia,1559138,8642,1341882,208614
2021-05-19,USA,173080,2941,100155,69984
2016-12-06,Cambodia,995256,21357,687733,286166
2001-03-01,Spain,1413001,24654,711070,677277
2023-06-13,Turkey,1860422,49833,1227451,583138
